CODIGO;BIBLIOGRAFIA;TITULO;MINHA BIBLIOTECA;"EX. DA BIBLIOTECA
CT";"EX. DE OUTRAS DO
SIBI";N. DE CHAMADA;Status;TOTAL EXEMPLARES;Classification
25;CM300;Complementar;V.Z. Medeiros, L.M.O. da Silva, M.A.S.C. Machado e A. Machado, Pré-Cálculo, 3a edição, Cengage Learning, São Paulo, 2013.;https://integrada.minhabiblioteca.com.br/reader/books/9788522116515/pageid/0;2;1;510.7 P922;Online;3.0;Online e Físico
26;CM300;Complementar;"E. Capelas; J. Vaz, Pré-Cálculo. Campinas: Unicamp. Disponível em:https://pre-calculo.org/.";-;0;0; ;Online;0.0;Apenas Online
27;CM300;Complementar;"G. Thomas; M. Wier; J. Hass, Cálculo, Vol. 1, 12a ed., São Paulo: Pearson, 2012.";-;69;107;515 T456 11.ed.;Offline;176.0;Apenas Físico
28;CM300;Complementar;J. Stewart, Cálculo - vol. 1. 7a edição, São Paulo: Cengage Learning, 2013.;https://integrada.minhabiblioteca.com.br/reader/books/9786555584097/pages/recent;46;148;515 S851;Online;194.0;Online e Físico
29;CM300;Complementar;A. Dornelles Filho, A.M. Adami e M.M Lorandi, Pré-Cálculo, 1a edição, Bookman, Porto Alegre, 2015. F.A.M. Gomes. Pré-Cálculo: operações, equações, funções e trigonometria. 1. ed. São Paulo: Cengage, 2018. v. 1. 560p.;https://integrada.minhabiblioteca.com.br/reader/books/9788582603215/pageid/0;0;0; ;Online;0.0;Apenas Online
30;CM300;Complementar;F. Triches, H.G.G. Lima, Pré-cálculo Um Livro Colaborativo. 2020. Disponível em https://www.ufrgs.br/reamat/PreCalculo/livro/livro.pdf;-;0;0; ;Online;0.0;Apenas Online
31;CM303;Básica;WINTERLE, P. - Vetores e Geometria Analítica, Makron Books, São Paulo, 2000.;-;10;39;516.182 W788 2.ed.;Offline;49.0;Apenas Físico
32;CM303;Básica;ANTON, H., RORRES, C. - Álgebra Linear com Aplicações, Bookman, Porto Alegre, 2012.;https://integrada.minhabiblioteca.com.br/reader/books/9788540701700/pageid/0;4;109;512.5 A634a 10.ed.;Online;113.0;Online e Físico
33;CM303;Básica;LEON, S. - Àlgebra Linear: com Aplicações, 4a ed., LTÇ Rio de Janeiro, 1999.;https://integrada.minhabiblioteca.com.br/reader/books/9788521635789/pages/recent;30;51;512.5 L579 8. ed;Online;81.0;Online e Físico
34;CM303;Complementar;SANTOS, R. - Matrizes, Vetores e Geometria Analítica, Belo Horizonte, Imprensa da UFMG,2010.;-;0;0; ;Offline;0.0;Apenas Físico
35;CM303;Complementar;LIPSCHUTZ, S. - Álgebra Linear, 3a ed., Makron Books, São Paulo, 1994.;-;15;15;512.5 L767 2.ed.;Offline;30.0;Apenas Físico
36;CM303;Complementar;STEINBRUCH, A. e WINTERLE, P. - Álgebra Linear, 2a ed., Unificado, Curitiba, 200-.;-;27;81;512.5 S819a 2.ed.;Offline;108.0;Apenas Físico
37;CM303;Complementar;STRANG, G. - Introdução à Álgebra Linear, GEN, São Paulo, 2013.;https://integrada.minhabiblioteca.com.br/reader/books/978-85-216-2500-1/pages/recent;0;0; ;Online;0.0;Apenas Online
38;CM303;Complementar;STEINBRUCH, A. e WINTERLE, P. - Introdução à Álgebra Linear, McGraw-Hill, São Paulo,1990.;-;2;0;512.5 S819;Offline;2.0;Apenas Físico
39;GA200;Básica;BORGES, Alberto de C. Exercícios de topografia. [Digite o Local da Editora]: Editora Blucher, 1975. E-book. ISBN 9788521217442. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9788521217442/. Acesso em: 31 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
40;GA200;Básica;GHILANI, Charles D. Elementary surveying: an introduction to geomatics .. 13th ed Upper Saddle River, NJ: Pearson Prentice-Hall, c2012. xix, 958p., il. Inclui referências e índice. ISBN 9780132554343 (enc.).; ;5;0;526.9 W855 13.ed.;Offline;5.0;Apenas Físico
41;GA200;Básica;LOCH, Carlos. Topografia contemporânea: planimetria. 2. ed. rev Florianópolis, SC: Ed. UFSC, 2000. RUvi, 321 p., il. (Didática). Bibliografia:[315]-321. ISBN 8532800394 (broch.).; ;5;4;526.98 L812;Offline;9.0;Apenas Físico
42;GA200;Complementar;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS. NBR 14166: Rede de referência cadastral municipal - procedimento. Rio de Janeiro, 1998. 23p. Disponível em: http://www.carto.eng.uerj.br/cdecart/download/NBR14166.pdf. Acesso em: 31 jul. 2023.;ABNT/TARGET online; ; ; ;Online;0.0;Apenas Online
43;GA200;Complementar;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS. NBR 14166: Rede de Referência Cadastral Municipal- Procedimento.Rio de Janeiro – RJ, 2022 . Disponível em:https://www.normas.com.br/visualizar/abnt-nbr- nm/10905/abnt-nbr14166-rede-de-referencia-cadastral-municipal-requisitos-e-procedimento. Acesso em: 31 jul. 2023.;ABNT/TARGET online; ; ; ;Online;0.0;Apenas Online
44;GA200;Complementar;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS. NBR 13133: Execução de levantamento topográfico. Rio de Janeiro, 1994. 35p. Disponível em: http://www.carto.eng.uerj.br/cdecart/download/NBR13133.pdf. Acesso em: 31 jul. 2023.;ABNT/TARGET online; ; ; ;Online;0.0;Apenas Online
45;GA200;Complementar;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS. NBR 13133: Execução de Levantamento Topográfico . Rio de Janeiro – RJ, 2021. Disponível em: https://www.normas.com.br/visualizar/abnt-nbr-nm/6400/abnt-nbr13133- execucao-de-levantamento-topografico-procedimento. Acesso em: 31 jul. 2023.;ABNT/TARGET online; ; ; ;Online;0.0;Apenas Online
46;GA200;Complementar;BORGES, Alberto de C. Topografia: Aplicada a Engenharia Civil (Volume 1). Editora Blucher, 2013. E-book. ISBN 9788521207610. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9788521207610/. Acesso em: 31 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
47;GA200;Complementar;BORGES, Alberto de C. Topografia: Aplicada a Engenharia Civil (Volume 2): Editora Blucher, 2013. E-book. ISBN 9788521207658. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9788521207658/. Acesso em: 02 ago. 2023.; ; ; ; ;Online;0.0;Apenas Online
48;GA200;Complementar;DOMINGUES, Felipe Augusto Aranha. Topografia e astronomia de posição para engenheiros e arquitetos. São Paulo, SP: McGraw-Hill, 1979. 403p.; ;5;0;526.9 D671;Offline;5.0;Apenas Físico
49;GA200;Complementar;ESPARTEL, L. Curso de Topografia. 9 ed. Rio de Janeiro, Globo, 1987. ISBN 8525002224;-;19;4;526.98 E77;Offline;23.0;Apenas Físico
50;GA200;Complementar;"GARCIA, G. J; PIEDADE, C. R. G. Topografia aplicada às Ciências Agrárias. São Paulo, Nobel, 1989.";-;2;10;526.98 G216;Offline;12.0;Apenas Físico
51;GA200;Complementar;"VEIGA, L. A. K.; ZANETTI, M. A.Z.; FAGGION, P. Introdução a Topografia. Engenharia Cartográfica, Universidade Federal do Paraná, 2012. 195p. Disponível em: https://cartografica.ufpr.br/wp-content/uploads/2023/07/fundamentos-topografia-i-1.pdf. Acesso em: 31 jul. 2023."; ; ; ; ;Online;0.0;Apenas Online
52;CE009;Básica;"BUSSAB, W.O.; MORETTIN, P.A. Estatística Básica. São Paulo: Editora Saraiva";https://integrada.minhabiblioteca.com.br/reader/books/9788547220228/pages/recent;74;153;519.5 M845e 8.ed.;Online;227.0;Online e Físico
53;CE009;Básica;"MAGALHÃES, M.N.; LIMA, A.C.P. Noções de Probabilidade e Estatística. São Paulo: EDUSP";-;42;40;519.2 M188 7.ed.;Offline;82.0;Apenas Físico
54;CE009;Básica;TRIOLA, M. F. Introdução à Estatística. Rio de Janeiro: Editora LTC;https://integrada.minhabiblioteca.com.br/reader/books/9788521634256/pages/recent;21;40;519.5 T834 11.ed.;Online;61.0;Online e Físico
55;CE009;Complementar;"SOARES, J.F.; FARIA, A.A.; CÉSAR, C.C. Introdução à Estatística. Rio de Janeiro: Editora LTC";-;6;10;519.5 S757 3.ed.;Offline;16.0;Apenas Físico
56;CE009;Complementar;"PAGANO, M.; GAUVREAU, K. Princípios de Bioestatística. São Paulo: Thomson";-;1;20;519.5 P131;Offline;21.0;Apenas Físico
57;CE009;Complementar;COSTA NETO, P. L. de O. Estatística. São Paulo: Editora Edgard Blücher Ltda;https://integrada.minhabiblioteca.com.br/reader/books/9788521215226/pages/recent;26;33;519.5 C837 2.ed.;Online;59.0;Online e Físico
58;CE009;Complementar;MEYER, P. L. Probabilidade: aplicações à estatística. Rio de Janeiro: LTC;https://integrada.minhabiblioteca.com.br/reader/books/9788521638476/pages/recent;40;23;519.2 M613p 2.ed.;Online;63.0;Online e Físico
59;CE009;Complementar;COSTA NETO, P.L. de O. Probabilidades. São Paulo: Editora Edgard Blücher Ltda;https://integrada.minhabiblioteca.com.br/reader/books/9788521215349/pages/recent;1;5;519.2 C857;Online;6.0;Online e Físico
60;CM301;Básica;HUGHES-HALLETT, D. Cálculo a Uma e a Várias Variáveis. São Paulo: LTC, 2011.;-;0;v.1 - 70,  v.2 - 10; ;Offline;40.0;Apenas Físico
61;CM301;Básica;STEWART, J. Cálculo, volume I. São Paulo: Cengage Learning, 2013.;https://integrada.minhabiblioteca.com.br/reader/books/9786555584097/pages/recent;46;148;515 S851;Online;194.0;Online e Físico
62;CM301;Básica;LEITHOLD, L. O Cálculo com Geometria Analítica. São Paulo: Harbra, 1994.;-;91;59;515.15 L533 3.ed.;Offline;150.0;Apenas Físico
63;CM301;Complementar;"HUGHES-HALLETT, D.; GLEASON, A.M. Cálculo Aplicado. São Paulo: LTC, 2012.";-;0;64; ;Offline;64.0;Apenas Físico
64;CM301;Complementar;SIMMONS, G.F. Cálculo com Geometria Analítica: Vol. 2. São Paulo: Makron: McGraw-Hill, 1987-88.;-;7;35;515.15 S592;Offline;42.0;Apenas Físico
65;CM301;Complementar;THOMAS, G. B. Cálculo: volume 1. Pearson, 2012.;-;69;107;515 T456 11.ed.;Offline;176.0;Apenas Físico
66;CM301;Complementar;GUIDORIZZI, L. H. Um curso de cálculo, volume 1. LTC, 2018.;https://integrada.minhabiblioteca.com.br/reader/books/9788521635574/pages/recent;53;84;515 G948 5.ed.;Online;137.0;Online e Físico
67;CM301;Complementar;COELHO, F. U. Cálculo em uma Variável. Editora Saraiva, 2013.;https://integrada.minhabiblioteca.com.br/reader/books/9788502199774/pages/recent;1;0;515 C672;Online;1.0;Online e Físico
68;GA201;Básica;BORGES, Alberto de C. Exercícios de topografia. Editora Blucher, 1975. E-book. ISBN 9788521217442. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9788521217442/ Acesso em: 31 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
69;GA201;Básica;ESPARTEL, L. Curso de Topografia. 9 ed. Rio de Janeiro, Globo, 1987. ISBN 8525002224;-;19;4;526.98 E77;Offline;23.0;Apenas Físico
70;GA201;Básica;GHILANI, Charles D. Elementary surveying: an introduction to geomatics. 13th ed Upper Saddle River, NJ: Pearson Prentice-Hall, c2012. xix, 958p., il. Inclui referências e índice. ISBN 9780132554343 (enc.).; ;5;0;526.9 W855 13.ed.;Offline;5.0;Apenas Físico
71;GA201;Complementar;LOCH, Carlos. Topografia contemporânea: planimetria. 2. ed. rev Florianópolis, SC: Ed. UFSC, 2000. RUvi, 321 p., il. (Didática). Bibliografia:[315]-321. ISBN 8532800394 (broch.).; ;5;4;526.98 L812;Offline;9.0;Apenas Físico
72;GA201;Complementar;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS. NBR 14166: Rede de referência cadastral municipal - procedimento. Rio de Janeiro, 1998. 23p. Disponível em: http://www.carto.eng.uerj.br/cdecart/download/NBR14166.pdf. Acesso em: 31 jul. 2023.;ABNT/TARGET online; ; ; ;Online;0.0;Apenas Online
73;GA201;Complementar;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS. NBR 14166: Rede de Referência Cadastral Municipal- Procedimento.Rio de Janeiro – RJ, 2022 . Disponível em:https://www.normas.com.br/visualizar/abnt-nbr- nm/10905/abnt-nbr14166-rede-de-referencia-cadastral-municipal-requisitos-e-procedimento. Acesso em: 31 jul. 2023.;ABNT/TARGET online; ; ; ;Online;0.0;Apenas Online
74;GA201;Complementar;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS. NBR 13133: Execução de levantamento topográfico. Rio de Janeiro, 1994. 35p. Disponível em: http://www.carto.eng.uerj.br/cdecart/download/NBR13133.pdf. Acesso em: 31 jul. 2023.;ABNT/TARGET online; ; ; ;Online;0.0;Apenas Online
75;GA201;Complementar;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS. NBR 13133: Execução de Levantamento Topográfico . Rio de Janeiro – RJ, 2021. Disponível em: https://www.normas.com.br/visualizar/abnt-nbr-nm/6400/abnt-nbr13133- execucao-de-levantamento-topografico-procedimento. Acesso em: 31 jul. 2023.;ABNT/TARGET online; ; ; ;Online;0.0;Apenas Online
76;GA201;Complementar;BORGES, Alberto de C. Topografia: Aplicada a Engenharia Civil (Volume 1). Editora Blucher, 2013. E-book. ISBN 9788521207610. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9788521207610/. Acesso em: 31 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
77;GA201;Complementar;BORGES, Alberto de C. Topografia: Aplicada a Engenharia Civil (Volume 2): Editora Blucher, 2013. E-book. ISBN 9788521207658. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9788521207658/. Acesso em: 02 ago. 2023.; ; ; ; ;Online;0.0;Apenas Online
78;GA201;Complementar;DOMINGUES, Felipe Augusto Aranha. Topografia e astronomia de posição para engenheiros e arquitetos. São Paulo, SP: McGraw-Hill, 1979. 403p.; ;5;0;526.9 D671;Offline;5.0;Apenas Físico
79;GA201;Complementar;GHILANI, Charles D. Elementary surveying: an introduction to geomatics. 13th ed Upper Saddle River, NJ: Pearson Prentice-Hall, c2012. xix, 958p., il. ISBN 9780132554343 (enc.).; ;5;0;526.9 W855 13.ed.;Offline;5.0;Apenas Físico
80;GA201;Complementar;"GARCIA, G. J; PIEDADE, C. R. G. Topografia aplicada às Ciências Agrárias. São Paulo, Nobel, 1989.";-;2;10;526.98 G216;Offline;12.0;Apenas Físico
81;GA201;Complementar;VEIGA, L. A. K, ZANETTI, M. A. Z, FAGGION, P. L. Fundamentos de Topografia. Apostila. Universidade Federal do Paraná, Curso de Engenharia Cartográfica, 2012. Disponível em: https://cartografica.ufpr.br/wp-content/uploads/2015/08/Material-de-Apoio-Topo-II-2015.pdf . Acesso em: 31 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
82;GA201;Complementar;"VEIGA, L. A. K.; ZANETTI, M. A.Z.; FAGGION, P. Introdução a Topografia. Engenharia Cartográfica, Universidade Federal do Paraná, 2012. 195p. Disponível em: https://cartografica.ufpr.br/wp-content/uploads/2023/07/fundamentos-topografia-i-1.pdf. Acesso em: 31 jul. 2023."; ; ; ; ;Online;0.0;Apenas Online
83;GA202;Básica;"LÖBLER, C. A.; GONLÇAVES, C.M.R.; DAVES, L.F. et al Cartografia. Grupo A, 2020. Disponível em <https://integrada.minhabiblioteca.com.br/#/books/9786581492564/>. Acesso em: 28 Jul 2023."; ; ; ; ;Online;0.0;Apenas Online
84;GA202;Básica;"SAMPAIO, T. V. M.; BRANDALIZE, M. C. B. Cartografia Geral, Digital e Temática. Curitiba: UFPR-PPGCG, 2018, 210p.";-;0;0; ;Offline;0.0;Apenas Físico
85;GA202;Básica;"STEIN, R.T.; REGIATO, E.I.; TROMBETA, L.R. Cartografia digital e sensoriamento remoto. Porto Alegre : SAGAH, 2020. disponível em <https://integrada.minhabiblioteca.com.br/reader/books/9786556900339/pageid/0>. Acesso em 28 Jul 2023."; ; ; ; ;Online;0.0;Apenas Online
86;GA202;Básica;"TULER, M.; SARAIVA, S. Fundamentos de Geodésia e Cartografia. Porto Alegre: Bookman, 2016. 9788582603697. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9788582603697/. Acesso em: 19 Apr 2021";https://integrada.minhabiblioteca.com.br/reader/books/9788582603697/pages/recent;0;3; ;Online;3.0;Online e Físico
87;GA202;Complementar;MCDONELL, P. W. Introduction to Map Projections. Landmark Enterprises, 1991, 2a edição.; ;2;0;526.8 M136i 2.ed.;Offline;2.0;Apenas Físico
88;GA202;Complementar;"MENEZES, P. M. L. de; FERNANDES, M. do C. Roteiro de Cartografia. São Paulo: Oficina de Textos, 2013."; ;0;10;;Offline;10.0;Apenas Físico
89;GA202;Complementar;MARTINELLI, M. Cartografia Temática: Caderno de Mapas Vol. 47. EDUSP, 2003. MARTINELLI, M. Curso de Cartografia Temática. São Paulo, 1991.; ;4;0;526.014 M385c;Offline;4.0;Apenas Físico
90;GA202;Complementar;NOGUEIRA, Ruth E. Cartografia: representação, comunicação e visualização de dados espaciais. 2a edição revisada. Florianópolis: Editora da UFSC, 2008. 314p.;-;0;0; ;Offline;0.0;Apenas Físico
91;GA202;Complementar;PEARSON, F. Map Projection: Theory and Applications. CRC Press, 1990.;-;3;0;526.8 P361m;Offline;3.0;Apenas Físico
92;GA253;Básica;"NETO, Roberto Fernandes T.; SILVA, Fábio Molina da. Introdução à Programação para Engenharia: Usando a Linguagem Python: Grupo GEN, 2022. E-book. ISBN 9788521638346. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9788521638346/. Acesso em: 29 jul. 2023."; ; ; ; ;Online;0.0;Apenas Online
93;GA253;Básica;BANIN, Sérgio L. Python 3 - Conceitos e Aplicações - Uma abordagem didática: Editora Saraiva, 2018. E-book. ISBN 9788536530253. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9788536530253/. Acesso em: 29 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
94;GA253;Básica;PERKOVIC, Ljubomir. Introdução à Computação Usando Python - Um Foco no Desenvolvimento de Aplicações. Grupo GEN, 2016. E-book. ISBN 9788521630937. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9788521630937/. Acesso em: 29 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
95;GA253;Complementar;BARRY, Paul. Use a Cabeça! Python: Editora Alta Books, 2018. E-book. ISBN 9786555207842. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9786555207842/. Acesso em: 29 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
96;GA253;Complementar;BORGES, Luiz Eduardo. Python para Desenvolvedores. 2. ed. Rio de Janeiro: Edição do Autor, 2010. ISBN 978-85-909451-1-6. Disponível em: https://ark4n.files.wordpress.com/2010/01/python_para_desenvolvedores_2ed.pdf. Acesso em: 29 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
97;GA253;Complementar;DOWNEY, Allen B. Pense em Python: Pense como um cientista da computação. Novatec Editora, 2019. ISBN: 978-85-7522-508-0. Disponível em: https://penseallen.github.io/PensePython2e/ . Acesso em: 29 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
98;GA253;Complementar;REITZ, Kenneth. Python Guide Documentation. Release 0.0.1. Fev 07, 2022. Disponível em: https://python-guide-pt-br.readthedocs.io/_/downloads/pt_BR/latest/pdf/. Acesso em: 29 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
99;GA253;Complementar;SEVERANCE, Charles. Python para Todos. Disponível em: http://do1.dr-chuck.com/pythonlearn/PT_br/pythonlearn.pdf. Acesso em: 29 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
100;GA153;Básica;"NETO, Roberto Fernandes T.; SILVA, Fábio Molina da. Introdução à Programação para Engenharia: Usando a Linguagem Python: Grupo GEN, 2022. E-book. ISBN 9788521638346. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9788521638346/. Acesso em: 29 jul. 2023."; ; ; ; ;Online;0.0;Apenas Online
101;GA153;Básica;BANIN, Sérgio L. Python 3 - Conceitos e Aplicações - Uma abordagem didática: Editora Saraiva, 2018. E-book. ISBN 9788536530253. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9788536530253/. Acesso em: 29 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
102;GA153;Básica;PERKOVIC, Ljubomir. Introdução à Computação Usando Python - Um Foco no Desenvolvimento de Aplicações. Grupo GEN, 2016. E-book. ISBN 9788521630937. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9788521630937/. Acesso em: 29 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
103;GA153;Complementar;BARRY, Paul. Use a Cabeça! Python: Editora Alta Books, 2018. E-book. ISBN 9786555207842. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9786555207842/. Acesso em: 29 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
104;GA153;Complementar;BORGES, Luiz Eduardo. Python para Desenvolvedores. 2. ed. Rio de Janeiro: Edição do Autor, 2010. ISBN 978-85-909451-1-6. Disponível em: https://ark4n.files.wordpress.com/2010/01/python_para_desenvolvedores_2ed.pdf. Acesso em: 29 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
105;GA153;Complementar;DOWNEY, Allen B. Pense em Python: Pense como um cientista da computação. Novatec Editora, 2019. ISBN: 978-85-7522-508-0. Disponível em: https://penseallen.github.io/PensePython2e/ . Acesso em: 29 jul. 2023.; ; ; ; ;Online;0.0;Apenas Online
